Rank,Feature Row(s),AUC
10,2,0.017
9,"8,9",0.0903
8,"2,3,8,9",0.1785
7,"1,2,3,4",0.373
6,"1,2,3",0.37458
5,"2,3,6,7",0.4027
4,"3,4,5,6,7",0.55383
3,"2,3,4,5,6,7,8,9",0.59359
2,"1,2,3,4,5,6,7,8",0.59954
1,"1,2,3,4,5,6,7,8,9",0.60305
